Chromosome	start	id	Nut.0h	Nut.1h	Nut.4h	Nut.7h	Nut.10h	Nut.24h
1	48200000	109	321875	0	321875	0	321875	321875
1	48521875	110	178125	478125	478125	478125	178125	478125
1	48700000	111	300000	0	0	0	300000	0
1	49000000	112	1850000	1850000	1850000	1850000	1850000	1850000
1	50850000	113	350000	871875	871875	871875	871875	350000
1	51200000	114	521875	0	0	0	0	521875
1	51721875	115	278125	584375	778125	584375	278125	584375
1	52000000	116	306250	0	0	0	306250	0
1	52306250	117	193750	1393750	0	1393750	1393750	1393750
1	52500000	118	1200000	0	1200000	0	0	0
1	53700000	119	550000	1800000	1800000	1800000	1800000	1800000
1	54250000	120	1250000	0	0	0	0	0
1	55500000	121	1800000	1800000	1800000	1800000	1800000	1800000
1	57300000	122	1650000	1650000	1650000	1650000	1650000	1650000
1	58950000	123	1371875	1371875	1371875	1371875	1371875	1371875
1	60321875	124	978125	2278125	2278125	2278125	2278125	2278125
1	61300000	125	1300000	0	0	0	0	0
1	62600000	126	300000	300000	300000	300000	300000	300000
1	62900000	127	354687	354687	354687	354687	354687	354687
1	63254687	128	793750	793750	793750	793750	793750	793750
1	64048437	129	653125	653125	653125	653125	653125	653125
1	64701562	130	298438	645313	645313	645313	798438	645313
1	65000000	131	346875	0	0	0	0	0
1	65346875	132	303125	303125	1853125	1853125	0	1853125
1	65500000	133	0	0	0	0	1700000	0
1	65650000	134	550000	550000	0	0	0	0
1	66200000	135	250000	1000000	0	0	0	0
1	66450000	136	250000	0	0	0	0	0
1	66700000	137	250000	0	0	0	0	0
1	66950000	138	250000	0	0	0	0	0
1	67200000	139	800000	800000	800000	800000	800000	800000
1	68000000	140	298437	298437	298437	298437	298437	298437
1	68298437	141	251563	251563	251563	251563	251563	251563
1	68550000	142	337500	337500	337500	337500	337500	337500
1	68887500	143	1437500	1737500	1737500	1737500	1437500	1737500
1	70325000	144	300000	0	0	0	300000	0
1	70625000	145	325000	325000	325000	325000	325000	325000
1	70950000	146	600000	600000	600000	600000	600000	600000
1	71550000	147	3075000	3075000	3075000	3075000	3075000	3650000
1	74625000	148	575000	575000	575000	575000	575000	0
1	75200000	149	500000	500000	500000	500000	500000	500000
1	75700000	150	600000	600000	600000	600000	600000	600000
1	76300000	151	1350000	1350000	1700000	1350000	1350000	1700000
1	77650000	152	950000	950000	0	950000	950000	0
1	78000000	153	0	0	600000	0	0	600000
1	78600000	154	520312	520312	520312	520312	520312	520312
1	79120312	155	5229688	5229688	5229688	5229688	5229688	5229688
1	84350000	156	900000	900000	1050000	900000	900000	1050000
1	85250000	157	500000	500000	0	500000	500000	0
1	85400000	158	0	0	350000	0	0	350000
1	85750000	159	1050000	1050000	1050000	1050000	1050000	450000
1	86200000	160	0	0	0	0	0	600000
1	86800000	161	450000	450000	450000	450000	450000	450000
1	87250000	162	300000	300000	300000	300000	300000	300000
1	87550000	163	1550000	1550000	1550000	1550000	1550000	1550000
1	89100000	164	262500	262500	262500	262500	262500	262500
1	89362500	165	587500	587500	587500	587500	587500	587500
1	89950000	166	300000	300000	300000	300000	300000	300000
1	90250000	167	250000	250000	250000	250000	250000	250000
1	90500000	168	1425000	1425000	1425000	1425000	1425000	1425000
1	91925000	169	475000	475000	475000	1375000	1375000	475000
1	92400000	170	900000	900000	900000	0	0	900000
1	93300000	171	1100000	1100000	1100000	1100000	1100000	2350000
1	94400000	172	550000	550000	550000	550000	550000	0
1	94950000	173	350000	350000	350000	350000	350000	0
1	95300000	174	350000	350000	350000	350000	350000	0
1	95650000	175	1828125	1828125	1828125	1828125	1828125	3528125
1	97478125	176	1521875	1700000	1700000	1700000	1700000	0
1	99000000	177	178125	0	0	0	0	0
1	99178125	178	1021875	1021875	1021875	1021875	1021875	1021875
1	100200000	179	750000	750000	750000	750000	750000	750000
1	100950000	180	400000	400000	400000	400000	400000	400000
1	101350000	181	473437	473437	473437	473437	473437	473437
1	101823437	182	1976563	1976563	1976563	1976563	2339063	2339063
1	103800000	183	362500	362500	362500	362500	0	0
1	104162500	184	4137500	4137500	4137500	4137500	4137500	4137500
1	108300000	185	400000	400000	400000	400000	400000	950000
1	108700000	186	550000	550000	550000	550000	550000	0
1	109250000	187	500000	800000	800000	800000	350000	800000
1	109600000	188	0	0	0	0	450000	0
1	109750000	189	300000	0	0	0	0	0
1	110050000	190	525000	525000	525000	525000	525000	525000
1	110575000	191	475000	475000	475000	475000	475000	475000
1	111050000	192	567187	567187	567187	567187	567187	567187
1	111617187	193	232813	448438	448438	232813	448438	232813
1	111850000	194	215625	0	0	215625	0	215625
1	112065625	195	284375	284375	284375	284375	284375	284375
1	112350000	196	550000	550000	550000	550000	550000	550000
1	112900000	197	350000	350000	350000	350000	350000	350000
1	113250000	198	359375	359375	359375	359375	359375	359375
1	113609375	199	712500	2001562	2001562	712500	712500	712500
1	114321875	200	178125	0	0	1289062	378125	378125
1	114500000	201	400000	0	0	0	0	0
1	114700000	202	0	0	0	0	375000	375000
1	114900000	203	175000	0	0	0	0	0
1	115075000	204	300000	0	0	0	300000	535937
1	115375000	205	235937	0	0	0	235937	0
1	115610937	206	539063	539063	539063	539063	539063	539063
1	116150000	207	500000	500000	500000	500000	500000	300000
1	116450000	208	0	0	0	0	0	350000
1	116650000	209	425000	425000	425000	425000	425000	0
1	116800000	210	0	0	0	0	0	275000
1	117075000	211	556250	556250	556250	556250	556250	556250
1	117631250	212	543750	918750	918750	918750	918750	543750
1	117950000	213	0	0	0	0	0	0
1	118175000	214	375000	0	0	0	0	375000
1	118550000	215	1025000	1025000	1025000	1025000	1025000	1025000
1	119575000	216	393750	393750	393750	393750	393750	393750
1	119968750	217	1531250	1531250	1531250	1531250	1531250	1531250
1	121500000	218	22025000	22025000	22025000	22025000	22025000	22025000
1	143525000	219	1243750	1243750	1243750	1243750	1243750	1606250
1	144768750	220	362500	362500	362500	362500	362500	0
1	145131250	221	268750	268750	268750	268750	268750	593750
1	145400000	222	325000	325000	450000	450000	450000	0
1	145725000	223	775000	775000	0	0	0	1075000
1	145850000	224	0	0	950000	950000	950000	0
1	146500000	225	300000	300000	0	0	0	0
1	146800000	226	250000	250000	250000	250000	250000	250000
1	147050000	227	306250	306250	306250	306250	306250	306250
1	147356250	228	443750	443750	1593750	443750	443750	1993750
1	147800000	229	1409375	1409375	0	1409375	1409375	0
1	148950000	230	0	0	259375	0	0	0
1	149209375	231	590625	590625	590625	590625	590625	0
1	149350000	232	0	0	0	0	0	850000
1	149800000	233	400000	400000	400000	400000	400000	0
1	150200000	234	250000	800000	800000	1800000	250000	1000000
1	150450000	235	550000	0	0	0	550000	0
1	151000000	236	200000	200000	200000	0	200000	0
1	151200000	237	800000	800000	800000	0	800000	800000
1	152000000	238	465625	465625	465625	465625	465625	1500000
1	152465625	239	834375	834375	834375	834375	834375	0
1	153300000	240	1137500	1137500	1825000	1137500	1137500	0
1	153500000	241	0	0	0	0	0	1450000
1	154300000	242	0	0	0	0	0	0
1	154437500	243	512500	512500	0	687500	512500	0
1	154950000	244	175000	1625000	0	0	175000	1625000
1	155125000	245	1450000	0	1450000	1450000	1775000	0
1	156575000	246	325000	325000	325000	325000	0	575000
1	156900000	247	250000	250000	250000	250000	250000	0
1	157150000	248	750000	750000	750000	750000	750000	750000
1	157900000	249	250000	250000	250000	250000	250000	250000
1	158150000	250	950000	950000	950000	950000	950000	950000
1	159100000	251	650000	650000	650000	650000	650000	650000
1	159750000	252	275000	275000	275000	275000	275000	275000
1	160025000	253	348437	348437	348437	348437	348437	348437
1	160373437	254	275000	275000	275000	275000	275000	275000
1	160648437	255	501563	276563	501563	501563	501563	276563
1	160925000	256	0	475000	0	0	0	475000
1	161150000	257	250000	0	250000	250000	250000	0
1	161400000	258	350000	350000	350000	350000	350000	1375000
1	161750000	259	1025000	1025000	1025000	1025000	1025000	0
1	162775000	260	525000	525000	525000	525000	525000	525000
1	163300000	261	1800000	1800000	1800000	1800000	1800000	1800000
1	165100000	262	250000	250000	250000	500000	250000	1725000
1	165350000	263	250000	250000	250000	0	250000	0
1	165600000	264	300000	300000	300000	300000	300000	0
1	165900000	265	550000	925000	925000	925000	550000	0
1	166450000	266	375000	0	0	0	375000	0
1	166825000	267	728125	728125	728125	728125	728125	728125
1	167553125	268	496875	746875	746875	746875	746875	746875
1	168050000	269	250000	0	0	0	0	0
1	168300000	270	250000	1212500	1212500	1212500	1528125	1100000
1	168550000	271	850000	0	0	0	0	0
1	169400000	272	428125	0	0	0	0	2010937
1	169512500	273	0	315625	315625	315625	0	0
1	169828125	274	1100000	1100000	1100000	1100000	1100000	0
1	170928125	275	482812	482812	482812	482812	482812	0
1	171410937	276	335938	335938	335938	335938	335938	335938
1	171746875	277	246875	246875	246875	653125	246875	246875
1	171993750	278	406250	406250	406250	0	406250	406250
1	172400000	279	300000	300000	300000	300000	300000	2600000
1	172700000	280	618750	618750	618750	618750	618750	0
1	173318750	281	881250	881250	881250	1681250	881250	0
1	174200000	282	550000	800000	800000	0	550000	0
1	174750000	283	250000	0	0	0	250000	0
1	175000000	284	1850000	950000	950000	1850000	1850000	1850000
1	175950000	285	0	350000	350000	0	0	0
1	176300000	286	0	1650000	1650000	0	0	0
1	176850000	287	1100000	0	0	1100000	1100000	1100000
1	177950000	288	314062	314062	314062	314062	314062	314062
1	178264062	289	785938	785938	785938	1535938	1535938	785938
1	178700000	290	0	0	0	0	0	0
1	179050000	291	300000	300000	300000	0	0	300000
1	179350000	292	450000	300000	450000	0	0	450000
1	179650000	293	0	800000	0	0	0	0
1	179800000	294	400000	0	400000	400000	400000	400000
1	180200000	295	250000	0	250000	250000	250000	250000
1	180450000	296	700000	700000	700000	700000	700000	700000
1	181150000	297	250000	250000	250000	250000	250000	250000
1	181400000	298	625000	625000	625000	625000	625000	625000
1	182025000	299	375000	789062	789062	789062	789062	375000
1	182400000	300	414062	0	0	0	0	414062
1	182814062	301	435938	785938	785938	785938	785938	785938
1	183250000	302	350000	0	0	0	0	0
1	183600000	303	1100000	1100000	1100000	1100000	1100000	1100000
1	184700000	304	950000	1650000	950000	1650000	950000	1650000
1	185650000	305	700000	0	700000	0	700000	0
1	186350000	306	650000	650000	650000	650000	650000	650000
1	187000000	307	2150000	3471875	3471875	3471875	3471875	5450000
1	189150000	308	1321875	0	0	0	0	0
1	190471875	309	1978125	1978125	1978125	1978125	1978125	0
1	192450000	310	650000	650000	650000	650000	650000	650000
1	193100000	311	2875000	3600000	3600000	3600000	2875000	550000
1	193650000	312	0	0	0	0	0	3200000
1	195975000	313	225000	0	0	0	725000	0
1	196200000	314	500000	0	0	0	0	0
1	196700000	315	475000	703125	703125	703125	475000	0
1	196850000	316	0	0	0	0	0	553125
1	197175000	317	228125	0	0	0	228125	0
1	197403125	318	1296875	1296875	1296875	1296875	1296875	1296875
1	198700000	319	871875	871875	871875	871875	871875	871875
1	199571875	320	928125	928125	928125	928125	928125	928125
1	200500000	321	350000	350000	350000	350000	600000	350000
1	200850000	322	1000000	535937	535937	535937	0	535937
1	201100000	323	0	0	0	0	285937	0
1	201385937	324	0	464063	464063	464063	664063	664063
1	201850000	325	200000	200000	200000	200000	0	0
1	202050000	326	950000	950000	950000	950000	950000	950000
1	203000000	327	250000	250000	800000	250000	250000	800000
1	203250000	328	550000	550000	0	550000	550000	0
1	203800000	329	600000	600000	600000	600000	600000	600000
1	204400000	330	840625	2250000	840625	840625	840625	840625
1	205240625	331	484375	0	1609375	284375	1409375	484375
1	205525000	332	0	0	0	1125000	0	0
1	205725000	333	925000	0	0	0	0	625000
1	206350000	334	0	0	0	0	0	1612500
1	206650000	335	550000	1312500	0	1312500	550000	0
1	206850000	336	0	0	350000	0	0	0
1	207200000	337	762500	0	762500	0	762500	0
1	207962500	338	187500	187500	187500	1787500	187500	1787500
1	208150000	339	1600000	1600000	1600000	0	1600000	0
1	209750000	340	250000	250000	250000	250000	250000	250000
1	210000000	341	300000	562500	562500	562500	562500	1850000
1	210300000	342	262500	0	0	0	0	0
1	210562500	343	834375	834375	834375	834375	834375	0
1	211396875	344	453125	453125	453125	453125	453125	0
1	211850000	345	800000	1400000	1400000	1400000	1400000	1400000
1	212650000	346	600000	0	0	0	0	0
1	213250000	347	1218750	1218750	1218750	1218750	1218750	1218750
1	214468750	348	331250	331250	331250	331250	331250	331250
1	214800000	349	1007812	1007812	1007812	1007812	1007812	1007812
1	215807812	350	2592188	2592188	2592188	2592188	2592188	2592188
1	218400000	351	1600000	1600000	1600000	1600000	1600000	1600000
1	220000000	352	1000000	1000000	1000000	1000000	1000000	400000
1	220400000	353	0	0	0	0	0	600000
1	221000000	354	1650000	1650000	1650000	1650000	1650000	2300000
1	222650000	355	250000	250000	250000	250000	250000	0
1	222900000	356	400000	400000	400000	400000	400000	0
1	223300000	357	600000	600000	600000	600000	600000	600000
1	223900000	358	750000	750000	750000	750000	750000	750000
1	224650000	359	976562	976562	976562	976562	976562	450000
1	225100000	360	0	0	0	0	0	1100000
1	225626562	361	573438	573438	573438	573438	573438	0
1	226200000	362	400000	400000	1450000	1450000	400000	400000
1	226600000	363	600000	1050000	0	0	1050000	1050000
1	227200000	364	450000	0	0	0	0	0
1	227650000	365	250000	1059375	1059375	1059375	1059375	1059375
1	227900000	366	250000	0	0	0	0	0
1	228150000	367	559375	0	0	0	0	0
1	228709375	368	690625	690625	690625	690625	690625	690625
1	229400000	369	298437	298437	298437	298437	298437	298437
1	229698437	370	807813	807813	807813	807813	807813	807813
1	230506250	371	243750	243750	243750	939062	243750	243750
1	230750000	372	695312	695312	695312	0	695312	695312
1	231445312	373	315625	315625	315625	315625	315625	315625
1	231760937	374	1639063	1639063	1639063	1639063	1639063	1639063
1	233400000	375	887500	887500	1200000	1200000	1200000	887500
1	234287500	376	312500	312500	0	0	0	312500
1	234600000	377	650000	650000	650000	650000	650000	650000
1	235250000	378	1000000	1000000	1000000	1000000	1000000	400000
1	235650000	379	0	0	0	0	0	600000
1	236250000	380	500000	500000	500000	500000	500000	500000
1	236750000	381	3487500	400000	400000	400000	1000000	400000
1	237150000	382	0	4500000	4500000	4500000	0	200000
1	237350000	383	0	0	0	0	0	2887500
1	237550000	384	0	0	0	0	0	0
1	237750000	385	0	0	0	0	2487500	0
1	240237500	386	1412500	0	0	0	1412500	1412500
1	241650000	387	489062	489062	1576562	489062	489062	489062
1	242139062	388	360938	1087500	0	1087500	1087500	1087500
1	242500000	389	726562	0	0	0	0	0
1	243226562	390	273438	273438	273438	273438	273438	273438
1	243500000	391	400000	975000	975000	975000	975000	975000
1	243900000	392	575000	0	0	0	0	0
1	244475000	393	775000	775000	775000	775000	775000	775000
1	244700000	394	0	0	0	0	0	0
1	245250000	395	800000	1443750	1443750	1700000	1000000	1443750
1	246050000	396	200000	0	0	0	0	0
1	246250000	397	300000	0	0	0	443750	0
1	246550000	398	143750	0	0	0	0	0
1	246693750	399	1026562	406250	406250	0	406250	406250
1	246950000	400	0	0	0	1725000	0	0
1	247100000	401	0	284375	284375	0	284375	284375
1	247384375	402	0	335937	335937	0	335937	335937
1	247500000	403	0	0	0	0	0	0
1	247720312	404	954688	417188	954688	0	417188	954688
1	248000000	405	0	0	0	0	0	0
1	248137500	406	0	537500	0	0	537500	0
1	248675000	407	0	0	0	0	0	0
1	248850000	408	0	0	0	0	0	0
2	251562	409	648438	873438	873438	873438	873438	873438
2	900000	410	225000	0	0	0	0	0
2	1125000	411	337500	337500	337500	337500	525000	525000
2	1462500	412	1390625	1390625	1390625	1390625	0	0
2	1650000	413	0	0	0	0	1203125	1203125
2	2853125	414	282812	282812	282812	282812	282812	282812
2	3135937	415	1714063	1714063	1714063	1714063	1714063	1714063
2	4850000	416	600000	600000	600000	600000	600000	600000
2	5450000	417	250000	250000	250000	250000	250000	250000
2	5700000	418	250000	250000	250000	250000	250000	250000
2	5950000	419	500000	500000	500000	500000	500000	500000
2	6450000	420	1100000	1100000	1346875	1100000	1100000	1100000
2	7550000	421	246875	650000	0	246875	246875	1800000
2	7796875	422	515625	0	203125	403125	515625	0
2	8000000	423	0	0	312500	0	0	0
2	8200000	424	0	3250000	0	3250000	0	0
2	8312500	425	1037500	0	3137500	0	1037500	0
2	9350000	426	2100000	0	0	0	2100000	2100000
2	11450000	427	350000	753125	753125	753125	350000	350000
2	11800000	428	403125	0	0	0	403125	403125
2	12203125	429	993750	993750	993750	993750	993750	993750
2	13196875	430	453125	453125	453125	453125	453125	1990625
2	13650000	431	850000	850000	850000	850000	850000	0
2	14500000	432	400000	400000	687500	400000	400000	0
2	14900000	433	287500	287500	0	550000	550000	0
2	15187500	434	262500	262500	262500	0	0	262500
2	15450000	435	450000	450000	450000	450000	450000	450000
2	15900000	436	950000	950000	950000	950000	950000	950000
2	16850000	437	859375	859375	859375	700000	859375	250000
2	17100000	438	0	0	0	0	0	609375
2	17350000	439	0	0	0	0	0	0
2	17550000	440	0	0	0	1053125	0	0
2	17709375	441	590625	893750	893750	0	590625	893750
2	18300000	442	303125	0	0	0	303125	0
2	18603125	443	357812	357812	357812	357812	357812	357812
2	18960937	444	2178125	2178125	2178125	2178125	2178125	2178125
2	21139062	445	410938	1110938	210938	410938	410938	410938
2	21350000	446	0	0	900000	0	0	0
2	21550000	447	350000	0	0	350000	350000	350000
2	21900000	448	350000	0	0	350000	350000	350000
2	22250000	449	1150000	1150000	1150000	1150000	1150000	1150000
2	23400000	450	1425000	1425000	1425000	1425000	1425000	1425000
2	24825000	451	575000	575000	575000	575000	575000	575000
2	25400000	452	600000	600000	600000	600000	600000	600000
2	26000000	453	600000	600000	600000	600000	600000	600000
2	26600000	454	1050000	1050000	1050000	1050000	1050000	1050000
2	27650000	455	1050000	1050000	1050000	1050000	1050000	1050000
2	28700000	456	1000000	1000000	1000000	1000000	1000000	1000000
2	29700000	457	950000	950000	1248437	1248437	1248437	1248437
2	30650000	458	298437	298437	0	0	0	0
2	30948437	459	1151563	1151563	1151563	1151563	1151563	1151563
2	32100000	460	546875	250000	250000	250000	546875	250000
2	32350000	461	0	296875	296875	296875	0	296875
2	32646875	462	553125	803125	803125	803125	803125	2303125
2	32850000	463	0	0	0	0	0	0
2	33200000	464	250000	0	0	0	0	0
2	33450000	465	1500000	1500000	1500000	1500000	1500000	0
2	34950000	466	300000	925000	925000	925000	925000	925000
2	35250000	467	625000	0	0	0	0	0
2	35875000	468	3125000	3125000	3125000	3125000	2225000	3125000
2	38100000	469	0	0	0	0	550000	0
2	38650000	470	0	0	0	0	350000	0
2	39000000	471	3550000	3550000	3550000	3550000	3550000	3900000
2	42550000	472	751562	751562	751562	751562	751562	0
2	42900000	473	0	0	0	0	0	401562
2	43301562	474	307813	307813	307813	307813	307813	307813
2	43609375	475	278125	278125	278125	278125	503125	503125
2	43887500	476	225000	225000	225000	225000	0	0
2	44112500	477	1325000	1325000	1325000	1325000	1325000	1325000
2	45437500	478	862500	662500	662500	662500	362500	362500
2	45800000	479	0	0	0	0	300000	3975000
2	46100000	480	0	200000	200000	200000	200000	0
2	46300000	481	1068750	1068750	1068750	1068750	1068750	0
2	47368750	482	1181250	1031250	1031250	1031250	1031250	0
2	47750000	483	0	0	0	0	0	0
2	48400000	484	0	300000	300000	300000	300000	0
2	48550000	485	950000	0	0	0	0	0
2	48700000	486	0	1075000	1075000	1075000	1075000	0
2	49500000	487	275000	0	0	0	0	0
2	49775000	488	975000	975000	975000	975000	975000	975000
2	50750000	489	400000	400000	150000	400000	400000	1300000
2	50900000	490	0	0	250000	0	0	0
2	51150000	491	900000	900000	900000	700000	700000	0
2	51850000	492	0	0	0	868750	868750	0
2	52050000	493	668750	668750	668750	0	0	400000
2	52450000	494	0	0	0	0	0	268750
2	52718750	495	1312500	1312500	1181250	1181250	1312500	1312500
2	53900000	496	0	0	650000	650000	0	0
2	54031250	497	268750	518750	0	0	518750	268750
2	54300000	498	250000	0	0	0	0	250000
2	54550000	499	5350000	5350000	5350000	5350000	5350000	5350000
2	59900000	500	250000	250000	250000	250000	250000	250000
2	60150000	501	1250000	1250000	1250000	1250000	1700000	1700000
2	61400000	502	450000	450000	450000	450000	0	0
2	61850000	503	350000	700000	700000	700000	700000	700000
2	62200000	504	350000	0	0	0	0	0
2	62550000	505	1000000	1675000	1675000	1675000	1000000	1000000
2	63550000	506	300000	0	0	0	300000	300000
2	63850000	507	375000	0	0	0	375000	375000
2	64225000	508	675000	675000	675000	675000	675000	675000
2	64900000	509	675000	675000	675000	675000	675000	675000
2	65575000	510	4000000	4000000	4000000	4000000	4000000	4000000
2	69575000	511	525000	525000	525000	525000	525000	525000
2	70100000	512	500000	653125	653125	653125	300000	653125
2	70400000	513	0	0	0	0	353125	0
2	70600000	514	153125	0	0	0	0	0
2	70753125	515	396875	1146875	1146875	1146875	1146875	1146875
2	71150000	516	750000	0	0	0	0	0
2	71900000	517	275000	275000	275000	275000	275000	275000
2	72175000	518	475000	475000	475000	475000	475000	475000
2	72650000	519	400000	400000	400000	400000	400000	400000
2	73050000	520	550000	550000	550000	550000	550000	550000
2	73600000	521	250000	500000	500000	500000	250000	500000
2	73850000	522	250000	0	0	0	250000	0
2	74100000	523	884375	1425000	884375	884375	884375	884375
2	74984375	524	540625	0	540625	540625	540625	540625
2	75525000	525	475000	475000	475000	475000	475000	475000
2	75750000	526	0	0	0	0	0	0
2	76000000	527	1000000	1000000	1000000	1000000	1000000	1000000
2	77000000	528	1900000	1900000	1900000	1900000	1900000	1900000
2	78900000	529	612500	612500	612500	612500	612500	612500
2	79512500	530	287500	287500	287500	287500	287500	287500
2	79800000	531	1304687	1304687	1304687	1304687	1304687	1304687
2	81104687	532	945313	945313	945313	945313	945313	945313
2	82050000	533	343750	343750	343750	343750	343750	3839062
2	82393750	534	3495312	3495312	3495312	3495312	3495312	0
2	85889062	535	435938	435938	435938	435938	435938	435938
2	86325000	536	1825000	1825000	1825000	1825000	1825000	1825000
2	88150000	537	300000	1137500	1400000	1137500	1137500	800000
2	88450000	538	250000	0	0	0	0	0
2	88700000	539	250000	0	0	0	0	0
2	88950000	540	337500	0	0	0	0	2050000
2	89287500	541	262500	1412500	0	1412500	262500	0
2	89550000	542	825000	0	825000	0	1150000	0
2	90375000	543	325000	0	625000	0	0	0
2	90700000	544	300000	300000	0	300000	300000	0
2	91000000	545	500000	500000	500000	500000	500000	500000
2	91500000	546	1115625	1115625	1115625	1115625	1115625	1115625
2	92615625	547	1690625	1096875	1096875	1096875	1096875	1096875
