Chromosome	TADborder	p53_inactive	p53_active_1h	p53_active_4h	p53_active_7h	p53_active_10h	p53_active_24h	individual_TADstate.p53_inactive	individual_TADstate.p53_active_1h	individual_TADstate.p53_active_4h	individual_TADstate.p53_active_7h	individual_TADstate.p53_active_10h	individual_TADstate.p53_active_24h	Category_tads
16	chr4	   400000	 6	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
17	chr5	   425000	 3	 0	 0	 0	 0	 4	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
18	chr12	   500000	 0	 0	 0	 3	 0	 4	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
19	chr9	   500000	 4	 0	 0	 0	 0	 6	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
20	chr2	   500000	 0	 4	 3	 0	 0	 0	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
21	chr6	   550000	 8	 7	 6	 6	 8	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
22	chr20	   575000	 7	 0	 0	 0	 7	 3	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
23	chr18	   600000	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
24	chr19	   600000	 0	 0	 0	 3	 0	 0	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
25	chr17	   625000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
26	chr12	   631250	 6	 7	 4	 0	 5	 0	TAD	TAD	NoTAD	NoTAD	TAD	NoTAD	TAD-TAD-NoTAD-NoTAD-TAD-NoTAD
27	chr2	   650000	 8	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
28	chr5	   650000	 6	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
29	chr4	   651562	 9	 5	 6	 6	 9	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
30	chr6	   700000	 0	 0	 0	 0	 0	 7	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
31	chr16	   700000	 0	 8	 8	10	 0	 0	NoTAD	TAD	TAD	TAD	NoTAD	NoTAD	NoTAD-TAD-TAD-TAD-NoTAD-NoTAD
32	chr20	   806250	 5	 9	10	 8	 7	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
33	chr12	   818750	 6	 7	 4	 9	 0	10	TAD	TAD	NoTAD	TAD	NoTAD	TAD	TAD-TAD-NoTAD-TAD-NoTAD-TAD
34	chr11	   818750	 4	 5	 6	 5	 0	 0	NoTAD	TAD	TAD	TAD	NoTAD	NoTAD	NoTAD-TAD-TAD-TAD-NoTAD-NoTAD
35	chr18	   850000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
36	chr1	   875000	 0	 6	 9	 5	 0	 0	NoTAD	TAD	TAD	TAD	NoTAD	NoTAD	NoTAD-TAD-TAD-TAD-NoTAD-NoTAD
37	chr10	   900000	 9	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
38	chr17	   900000	10	 8	10	10	 9	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
39	chr5	   900000	 6	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
40	chr8	   912500	 6	 4	 0	 0	 5	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
41	chr7	   943750	 7	 6	 8	 8	 0	 0	TAD	TAD	TAD	TAD	NoTAD	NoTAD	TAD-TAD-TAD-TAD-NoTAD-NoTAD
42	chr19	   950000	 0	 0	 3	 0	 0	 0	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
43	chr12	   950000	 0	 0	 0	 0	 5	 0	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
44	chr20	  1000000	 0	 0	 3	 7	 0	 3	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-TAD-NoTAD-NoTAD
45	chr9	  1000000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
46	chr20	  1125000	 4	 7	 0	 0	 7	 0	NoTAD	TAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD-TAD-NoTAD-NoTAD-TAD-NoTAD
47	chr10	  1125000	10	 6	 7	 9	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
48	chr17	  1150000	10	 8	10	10	 0	 0	TAD	TAD	TAD	TAD	NoTAD	NoTAD	TAD-TAD-TAD-TAD-NoTAD-NoTAD
49	chr16	  1200000	 0	 5	 4	 3	 0	 0	NoTAD	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-TAD-NoTAD-NoTAD-NoTAD-NoTAD
50	chr12	  1200000	10	 8	 9	 7	10	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
51	chr7	  1250000	 0	 8	 8	 7	 0	 0	NoTAD	TAD	TAD	TAD	NoTAD	NoTAD	NoTAD-TAD-TAD-TAD-NoTAD-NoTAD
52	chr5	  1250000	 6	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
53	chr19	  1300000	 0	 4	 0	 0	 0	 0	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
54	chr20	  1325000	 7	 0	 7	 8	 9	 6	TAD	NoTAD	TAD	TAD	TAD	TAD	TAD-NoTAD-TAD-TAD-TAD-TAD
55	chr4	  1350000	 5	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
56	chr1	  1350000	 0	 7	 9	 7	 0	 0	NoTAD	TAD	TAD	TAD	NoTAD	NoTAD	NoTAD-TAD-TAD-TAD-NoTAD-NoTAD
57	chr8	  1400000	 4	 6	 0	 0	 0	 0	NoTAD	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-TAD-NoTAD-NoTAD-NoTAD-NoTAD
58	chr7	  1443750	 6	10	10	10	 9	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
59	chr10	  1462500	 7	10	 8	10	 0	 0	TAD	TAD	TAD	TAD	NoTAD	NoTAD	TAD-TAD-TAD-TAD-NoTAD-NoTAD
60	chr6	  1500000	10	 7	10	10	10	 5	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
61	chr19	  1500000	 0	 0	 4	 3	 0	 0	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
62	chr17	  1550000	 5	 6	 7	 8	 7	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
63	chr1	  1568750	 5	 0	 5	 6	 5	 0	TAD	NoTAD	TAD	TAD	TAD	NoTAD	TAD-NoTAD-TAD-TAD-TAD-NoTAD
64	chr11	  1575000	10	10	10	10	 7	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
65	chr20	  1596875	 7	 4	 7	 9	10	 8	TAD	NoTAD	TAD	TAD	TAD	TAD	TAD-NoTAD-TAD-TAD-TAD-TAD
66	chr5	  1625000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
67	chr10	  1650000	 0	 0	 0	 0	10	 6	NoTAD	NoTAD	NoTAD	NoTAD	TAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-TAD-TAD
68	chr8	  1675000	10	10	10	10	 6	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
69	chr17	  1700000	 0	 0	 0	 0	 0	 4	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
70	chr12	  1720312	10	10	 9	 8	 9	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
71	chr4	  1768750	 5	 8	 9	 7	 6	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
72	chr16	  1821875	 4	10	10	10	 5	 0	NoTAD	TAD	TAD	TAD	TAD	NoTAD	NoTAD-TAD-TAD-TAD-TAD-NoTAD
73	chr20	  1825000	 6	 6	 0	 0	 8	 0	TAD	TAD	NoTAD	NoTAD	TAD	NoTAD	TAD-TAD-NoTAD-NoTAD-TAD-NoTAD
74	chr2	  1850000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
75	chr1	  1850000	 6	 4	 7	 6	 0	 0	TAD	NoTAD	TAD	TAD	NoTAD	NoTAD	TAD-NoTAD-TAD-TAD-NoTAD-NoTAD
76	chr19	  1850000	 4	10	10	10	 0	 0	NoTAD	TAD	TAD	TAD	NoTAD	NoTAD	NoTAD-TAD-TAD-TAD-NoTAD-NoTAD
77	chr5	  1900000	10	 7	 6	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
78	chr9	  1900000	10	 9	 7	10	10	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
79	chr17	  1950000	 4	 0	 0	 0	 0	 0	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
80	chr12	  1975000	 7	 9	 9	 7	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
81	chr8	  2037500	 8	 0	 0	 5	 5	 0	TAD	NoTAD	NoTAD	TAD	TAD	NoTAD	TAD-NoTAD-NoTAD-TAD-TAD-NoTAD
82	chr16	  2050000	 4	 0	 0	 0	 5	 0	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
83	chr1	  2075000	 4	 4	 7	 7	 4	 0	NoTAD	NoTAD	TAD	TAD	NoTAD	NoTAD	NoTAD-NoTAD-TAD-TAD-NoTAD-NoTAD
84	chr9	  2150000	10	 9	 7	10	10	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
85	chr8	  2181250	 0	 6	 5	 5	 0	10	NoTAD	TAD	TAD	TAD	NoTAD	TAD	NoTAD-TAD-TAD-TAD-NoTAD-TAD
86	chr5	  2185937	 9	 8	 8	 8	 8	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
87	chr20	  2200000	 6	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
88	chr11	  2200000	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
89	chr17	  2221875	10	 7	 9	10	 6	 5	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
90	chr12	  2250000	 7	 0	 0	 0	 7	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
91	chr16	  2250000	 0	 4	 0	 0	 0	 0	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
92	chr1	  2350000	 0	 5	 0	10	 0	 0	NoTAD	TAD	NoTAD	TAD	NoTAD	NoTAD	NoTAD-TAD-NoTAD-TAD-NoTAD-NoTAD
93	chr8	  2350000	 8	 0	 0	 0	10	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
94	chr20	  2437500	 6	 4	 0	 0	 9	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
95	chr19	  2450000	 0	 0	 5	 5	 0	 0	NoTAD	NoTAD	TAD	TAD	NoTAD	NoTAD	NoTAD-NoTAD-TAD-TAD-NoTAD-NoTAD
96	chr7	  2478125	 7	 7	10	 7	 5	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
97	chr11	  2550000	 9	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
98	chr16	  2550000	 0	 4	 0	 0	 0	10	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
99	chr1	  2600000	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
100	chr18	  2600000	10	 8	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
101	chr17	  2634375	 3	 6	 9	 5	10	 0	NoTAD	TAD	TAD	TAD	TAD	NoTAD	NoTAD-TAD-TAD-TAD-TAD-NoTAD
102	chr20	  2639062	 6	 5	 5	 6	 9	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
103	chr7	  2650000	 0	 0	 0	 0	 0	 6	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
104	chr19	  2687500	 7	 5	 0	 0	 7	 0	TAD	TAD	NoTAD	NoTAD	TAD	NoTAD	TAD-TAD-NoTAD-NoTAD-TAD-NoTAD
105	chr2	  2696875	 6	 9	 9	10	 7	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
106	chr16	  2750000	 4	 0	 0	 0	 4	 0	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
107	chr6	  2750000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
108	chr12	  2784375	 6	 6	 6	 7	 6	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
109	chr9	  2850000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
110	chr19	  2850000	 0	 0	 2	 0	 0	 0	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
111	chr10	  2853125	 7	10	10	10	 6	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
112	chr17	  2884375	 7	 9	 0	 9	10	 8	TAD	TAD	NoTAD	TAD	TAD	TAD	TAD-TAD-NoTAD-TAD-TAD-TAD
113	chr18	  2889062	 7	 5	 6	 5	 9	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
114	chr2	  2900000	 3	 0	 0	 0	 0	 0	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
115	chr7	  2900000	 8	10	 7	10	 7	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
116	chr11	  2950000	 5	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
117	chr4	  2971875	10	 7	 8	 8	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
118	chr20	  3000000	 8	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
119	chr3	  3000000	 0	 8	10	 0	 0	 0	NoTAD	TAD	TAD	NoTAD	NoTAD	NoTAD	NoTAD-TAD-TAD-NoTAD-NoTAD-NoTAD
120	chr12	  3018750	 6	 5	 4	 5	 6	 0	TAD	TAD	NoTAD	TAD	TAD	NoTAD	TAD-TAD-NoTAD-TAD-TAD-NoTAD
121	chr6	  3050000	 9	 4	 0	 8	 8	 0	TAD	NoTAD	NoTAD	TAD	TAD	NoTAD	TAD-NoTAD-NoTAD-TAD-TAD-NoTAD
122	chr19	  3068750	 6	 4	 7	10	10	 0	TAD	NoTAD	TAD	TAD	TAD	NoTAD	TAD-NoTAD-TAD-TAD-TAD-NoTAD
123	chr2	  3100000	 0	 6	 6	 5	 7	 0	NoTAD	TAD	TAD	TAD	TAD	NoTAD	NoTAD-TAD-TAD-TAD-TAD-NoTAD
124	chr10	  3135937	10	 5	 9	 9	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
125	chr9	  3200000	10	10	 5	 0	10	 0	TAD	TAD	TAD	NoTAD	TAD	NoTAD	TAD-TAD-TAD-NoTAD-TAD-NoTAD
126	chr4	  3200000	 7	 0	 0	 0	 7	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
127	chr3	  3204687	10	 8	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
128	chr16	  3221875	 7	10	 9	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
129	chr18	  3250000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
130	chr6	  3250000	10	10	10	 9	 0	 9	TAD	TAD	TAD	TAD	NoTAD	TAD	TAD-TAD-TAD-TAD-NoTAD-TAD
131	chr12	  3276562	 5	 6	 7	 5	 8	 5	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
132	chr20	  3300000	 7	 0	 0	 0	 6	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
133	chr19	  3343750	 3	 5	 4	 5	 0	 0	NoTAD	TAD	NoTAD	TAD	NoTAD	NoTAD	NoTAD-TAD-NoTAD-TAD-NoTAD-NoTAD
134	chr2	  3350000	 8	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
135	chr1	  3375000	 9	 6	10	10	 6	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
136	chr11	  3425000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
137	chr17	  3450000	10	10	 0	10	 6	10	TAD	TAD	NoTAD	TAD	TAD	TAD	TAD-TAD-NoTAD-TAD-TAD-TAD
138	chr4	  3450000	 6	 0	 0	 0	 6	 0	TAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD
139	chr16	  3525000	 4	 7	 9	 8	 7	10	NoTAD	TAD	TAD	TAD	TAD	TAD	NoTAD-TAD-TAD-TAD-TAD-TAD
140	chr2	  3600000	 4	 6	 0	 0	 0	 0	NoTAD	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-TAD-NoTAD-NoTAD-NoTAD-NoTAD
141	chr20	  3650000	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
142	chr11	  3700000	 0	 5	 0	 0	 0	 0	NoTAD	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD-TAD-NoTAD-NoTAD-NoTAD-NoTAD
143	chrX	  3700000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
144	chr18	  3700000	10	10	10	10	10	 7	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
145	chr17	  3712500	 4	 5	 5	 6	 3	 0	NoTAD	TAD	TAD	TAD	NoTAD	NoTAD	NoTAD-TAD-TAD-TAD-NoTAD-NoTAD
146	chr2	  3718750	 4	 7	 9	10	10	10	NoTAD	TAD	TAD	TAD	TAD	TAD	NoTAD-TAD-TAD-TAD-TAD-TAD
147	chr6	  3750000	10	 0	 6	 0	 0	 7	TAD	NoTAD	TAD	NoTAD	NoTAD	TAD	TAD-NoTAD-TAD-NoTAD-NoTAD-TAD
148	chr1	  3771875	 7	10	 6	 5	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
149	chr19	  3800000	 0	 0	 0	 0	 0	 6	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
150	chr11	  3850000	10	 0	 0	 0	10	 9	TAD	NoTAD	NoTAD	NoTAD	TAD	TAD	TAD-NoTAD-NoTAD-NoTAD-TAD-TAD
151	chr20	  3950000	 0	 0	 0	 0	 0	 8	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
152	chr4	  3950000	10	10	10	10	10	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
153	chr12	  3950000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
154	chr6	  4023437	10	 9	 9	 7	10	 9	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
155	chr19	  4025000	 0	 0	 0	 8	 4	 0	NoTAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD	NoTAD-NoTAD-NoTAD-TAD-NoTAD-NoTAD
156	chr18	  4050000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
157	chr17	  4050000	 6	10	 7	10	 8	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
158	chr20	  4150000	 7	 4	 5	 6	 6	 0	TAD	NoTAD	TAD	TAD	TAD	NoTAD	TAD-NoTAD-TAD-TAD-TAD-NoTAD
159	chr11	  4150000	10	10	10	10	 6	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
160	chr4	  4200000	 8	 6	 7	 6	 9	 6	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
